common_opponents_count,p2_current_streak_count,ranking_ratio,p2_form_win_percentage,p1_current_streak_count,p1_ranking_momentum_score,ranking_diff,p1_ranking,p1_surface_specialization_score,p2_form_recent_score,p2_ranking_momentum_score,p1_common_opponents_score,p2_surface_specialization_score,p1_pts,p1_strength_of_schedule_score,match_competitiveness,p2_pts,p1_elo,p1_form_win_percentage,p2_form_losses,p2_common_opponents_score,p2_elo,p1_form_recent_score,p2_regional_comfort_win_rate,p2_ranking,elo_diff,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
6,3,0.8875,80.0,3,0.93,-71.0,568.0,0.44,1.42,0.92,0.17,0.42,69.0,0.0,1,55.0,1749,90.0,4.0,0.17,1707,1.49,0.0,639.0,42,Hard,Excelente,victorias,Excelente,victorias,player2,False,False,True
2,1,1.551487414187643,55.0,3,0.91,242.0,678.0,0.36,1.35,1.05,0.0,0.41,49.0,0.19,0,107.0,1592,50.0,9.0,0.13,1664,1.39,25.0,436.0,-72,Hard,Regular,victorias,Regular,victorias,player1,False,False,True
2,1,1.551487414187643,55.0,3,0.91,242.0,678.0,0.36,1.35,1.05,0.0,0.41,49.0,0.19,0,107.0,1592,50.0,9.0,0.13,1664,1.39,25.0,436.0,-72,Hard,Regular,victorias,Regular,victorias,player1,False,False,True
3,6,0.7648648648648648,70.0,1,0.98,-86.0,283.0,0.41,1.55,1.06,0.0,0.4,188.0,0.23,1,133.0,1594,50.0,6.0,0.0,1720,1.27,53.8,369.0,-126,Hard,Regular,victorias,Buena,victorias,player2,False,False,True
3,6,0.7648648648648648,70.0,1,0.98,-86.0,283.0,0.41,1.55,1.06,0.0,0.4,188.0,0.23,1,133.0,1594,50.0,6.0,0.0,1720,1.27,53.8,369.0,-126,Hard,Regular,victorias,Buena,victorias,player2,False,False,True
2,1,1.5422077922077921,70.0,1,1.05,168.0,475.0,0.4,1.4,1.07,0.0,0.44,96.0,0.09,0,169.0,1685,65.0,6.0,0.09,1712,1.39,80.0,307.0,-27,Hard,Buena,victorias,Buena,victorias,player2,False,False,True
2,1,1.5422077922077921,70.0,1,1.05,168.0,475.0,0.4,1.4,1.07,0.0,0.44,96.0,0.09,0,169.0,1685,65.0,6.0,0.09,1712,1.39,80.0,307.0,-27,Hard,Buena,victorias,Buena,victorias,player2,False,False,True
7,1,0.533678756476684,50.0,1,0.67,-89.0,103.0,0.48,1.23,0.65,0.33,0.51,600.0,0.27,1,301.0,1685,55.0,10.0,0.23,1658,1.34,25.0,192.0,27,Clay,Regular,victorias,Regular,victorias,player2,True,False,False
7,1,0.533678756476684,50.0,1,0.67,-89.0,103.0,0.48,1.23,0.65,0.33,0.51,600.0,0.27,1,301.0,1685,55.0,10.0,0.23,1658,1.34,25.0,192.0,27,Clay,Regular,victorias,Regular,victorias,player2,True,False,False
2,1,1.4175257731958764,55.0,1,0.7,82.0,275.0,0.53,1.33,0.65,0.22,0.48,192.0,0.25,1,299.0,1712,55.0,9.0,0.0,1614,1.33,66.7,193.0,98,Clay,Regular,victorias,Regular,victorias,player1,True,False,False
2,1,1.4175257731958764,55.0,1,0.7,82.0,275.0,0.53,1.33,0.65,0.22,0.48,192.0,0.25,1,299.0,1712,55.0,9.0,0.0,1614,1.33,66.7,193.0,98,Clay,Regular,victorias,Regular,victorias,player1,True,False,False
2,1,0.3793103448275862,55.0,1,0.67,-125.0,77.0,0.57,1.33,0.71,0.0,0.47,756.0,0.27,0,279.0,1714,60.0,9.0,0.0,1647,1.35,50.0,202.0,67,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
2,1,0.3793103448275862,55.0,1,0.67,-125.0,77.0,0.57,1.33,0.71,0.0,0.47,756.0,0.27,0,279.0,1714,60.0,9.0,0.0,1647,1.35,50.0,202.0,67,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
1,3,1.3879093198992443,60.0,1,0.61,155.0,551.0,0.45,1.44,0.63,0.0,0.46,73.0,0.21,0,122.0,1675,55.0,8.0,0.2,1670,1.32,66.7,396.0,5,Clay,Regular,victorias,Buena,victorias,player2,True,False,False
1,3,1.3879093198992443,60.0,1,0.61,155.0,551.0,0.45,1.44,0.63,0.0,0.46,73.0,0.21,0,122.0,1675,55.0,8.0,0.2,1670,1.32,66.7,396.0,5,Clay,Regular,victorias,Buena,victorias,player2,True,False,False
4,3,1.6034063260340632,75.0,1,0.6,249.0,659.0,0.39,1.48,0.62,0.0,0.52,52.0,0.2,0,116.0,1571,50.0,5.0,0.38,1726,1.29,66.7,410.0,-155,Clay,Regular,victorias,Excelente,victorias,player1,True,False,False
4,3,1.6034063260340632,75.0,1,0.6,249.0,659.0,0.39,1.48,0.62,0.0,0.52,52.0,0.2,0,116.0,1571,50.0,5.0,0.38,1726,1.29,66.7,410.0,-155,Clay,Regular,victorias,Excelente,victorias,player1,True,False,False
5,1,1.042857142857143,45.0,1,0.66,7.0,146.0,0.5,1.24,0.66,0.39,0.5,406.0,0.27,3,436.0,1694,60.0,11.0,0.0,1662,1.31,50.0,139.0,32,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
5,1,1.042857142857143,45.0,1,0.66,7.0,146.0,0.5,1.24,0.66,0.39,0.5,406.0,0.27,3,436.0,1694,60.0,11.0,0.0,1662,1.31,50.0,139.0,32,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
6,1,0.5897435897435898,50.0,1,0.67,-79.0,115.0,0.55,1.24,0.65,0.4,0.52,547.0,0.27,1,298.0,1766,60.0,10.0,0.0,1631,1.33,40.0,194.0,135,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
6,1,0.5897435897435898,50.0,1,0.67,-79.0,115.0,0.55,1.24,0.65,0.4,0.52,547.0,0.27,1,298.0,1766,60.0,10.0,0.0,1631,1.33,40.0,194.0,135,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
2,1,0.8112244897959183,50.0,1,0.72,-36.0,159.0,0.45,1.31,0.71,0.0,0.41,370.0,0.27,2,293.0,1650,55.0,10.0,0.0,1634,1.33,50.0,195.0,16,Clay,Regular,victorias,Regular,victorias,player2,True,False,False
2,1,0.8112244897959183,50.0,1,0.72,-36.0,159.0,0.45,1.31,0.71,0.0,0.41,370.0,0.27,2,293.0,1650,55.0,10.0,0.0,1634,1.33,50.0,195.0,16,Clay,Regular,victorias,Regular,victorias,player2,True,False,False
3,1,3.6031746031746033,50.0,1,0.65,165.0,227.0,0.46,1.29,0.68,0.49,0.66,252.0,0.27,0,856.0,1638,55.0,10.0,0.26,1787,1.31,33.3,62.0,-149,Clay,Regular,victorias,Regular,victorias,player1,True,False,False
3,1,3.6031746031746033,50.0,1,0.65,165.0,227.0,0.46,1.29,0.68,0.49,0.66,252.0,0.27,0,856.0,1638,55.0,10.0,0.26,1787,1.31,33.3,62.0,-149,Clay,Regular,victorias,Regular,victorias,player1,True,False,False
4,3,0.23413566739606126,60.0,1,0.67,-349.0,107.0,0.67,1.4,0.62,0.23,0.38,579.0,0.27,0,101.0,1811,75.0,8.0,0.0,1637,1.36,57.1,456.0,174,Clay,Excelente,victorias,Buena,victorias,player1,True,False,False
4,3,0.23413566739606126,60.0,1,0.67,-349.0,107.0,0.67,1.4,0.62,0.23,0.38,579.0,0.27,0,101.0,1811,75.0,8.0,0.0,1637,1.36,57.1,456.0,174,Clay,Excelente,victorias,Buena,victorias,player1,True,False,False
5,1,3.0485436893203883,40.0,3,0.69,212.0,314.0,0.48,1.19,0.67,0.44,0.52,165.0,0.25,0,604.0,1657,70.0,12.0,0.0,1657,1.37,28.6,102.0,0,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
5,1,3.0485436893203883,40.0,3,0.69,212.0,314.0,0.48,1.19,0.67,0.44,0.52,165.0,0.25,0,604.0,1657,70.0,12.0,0.0,1657,1.37,28.6,102.0,0,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
3,1,0.6965699208443272,45.0,1,0.7,-114.0,264.0,0.49,1.26,0.63,0.22,0.47,199.0,0.2,0,128.0,1676,60.0,11.0,0.0,1591,1.33,50.0,378.0,85,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
3,1,0.6965699208443272,45.0,1,0.7,-114.0,264.0,0.49,1.26,0.63,0.22,0.47,199.0,0.2,0,128.0,1676,60.0,11.0,0.0,1591,1.33,50.0,378.0,85,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
1,1,0.7076923076923077,65.0,1,0.99,-94.0,230.0,0.35,1.43,1.07,0.0,0.4,251.0,0.26,1,159.0,1693,60.0,7.0,0.1,1699,1.37,40.0,324.0,-6,Hard,Buena,victorias,Buena,victorias,player2,False,False,True
1,1,0.7076923076923077,65.0,1,0.99,-94.0,230.0,0.35,1.43,1.07,0.0,0.4,251.0,0.26,1,159.0,1693,60.0,7.0,0.1,1699,1.37,40.0,324.0,-6,Hard,Buena,victorias,Buena,victorias,player2,False,False,True
4,1,1.1791907514450868,70.0,1,0.66,32.0,204.0,0.57,1.37,0.66,0.0,0.0,357.0,0.27,2,431.0,1620,40.0,6.0,0.28,1750,1.24,66.7,172.0,-130,Clay,Regular,victorias,Buena,victorias,player1,True,False,False
4,1,1.1791907514450868,70.0,1,0.66,32.0,204.0,0.57,1.37,0.66,0.0,0.0,357.0,0.27,2,431.0,1620,40.0,6.0,0.28,1750,1.24,66.7,172.0,-130,Clay,Regular,victorias,Buena,victorias,player1,True,False,False
1,2,0.2413793103448276,60.0,1,0.66,-571.0,182.0,0.46,1.39,0.59,0.0,0.49,407.0,0.26,0,48.0,1653,60.0,8.0,0.0,1630,1.36,50.0,753.0,23,Clay,Buena,victorias,Buena,victorias,player1,True,False,False
1,2,0.2413793103448276,60.0,1,0.66,-571.0,182.0,0.46,1.39,0.59,0.0,0.49,407.0,0.26,0,48.0,1653,60.0,8.0,0.0,1630,1.36,50.0,753.0,23,Clay,Buena,victorias,Buena,victorias,player1,True,False,False
4,1,7.104026845637584,65.0,1,0.35,1820.0,2117.0,0.57,1.32,0.64,0.48,0.61,1.0,0.27,0,228.0,1718,55.0,7.0,0.26,1688,1.32,61.5,297.0,30,Clay,Regular,victorias,Buena,victorias,player2,True,False,False
4,1,7.104026845637584,65.0,1,0.35,1820.0,2117.0,0.57,1.32,0.64,0.48,0.61,1.0,0.27,0,228.0,1718,55.0,7.0,0.26,1688,1.32,61.5,297.0,30,Clay,Regular,victorias,Buena,victorias,player2,True,False,False
1,1,3.1847133757961785,45.0,1,0.59,344.0,500.0,0.56,1.31,0.66,0.24,0.41,108.0,0.25,0,478.0,1643,60.0,11.0,0.0,1621,1.34,28.6,156.0,22,Clay,Buena,victorias,Regular,victorias,player2,True,False,False
1,1,3.1847133757961785,45.0,1,0.59,344.0,500.0,0.56,1.31,0.66,0.24,0.41,108.0,0.25,0,478.0,1643,60.0,11.0,0.0,1621,1.34,28.6,156.0,22,Clay,Buena,victorias,Regular,victorias,player2,True,False,False
1,-10,2.581818181818182,35.0,-1,0.66,88.0,142.0,0.51,1.14,0.68,0.0,0.0,533.0,0.27,1,1082.0,1683,65.0,13.0,0.27,1674,1.39,61.5,54.0,9,Clay,Buena,derrotas,Mala,derrotas,player2,True,False,False
1,-10,2.581818181818182,35.0,-1,0.66,88.0,142.0,0.51,1.14,0.68,0.0,0.0,533.0,0.27,1,1082.0,1683,65.0,13.0,0.27,1674,1.39,61.5,54.0,9,Clay,Buena,derrotas,Mala,derrotas,player2,True,False,False
4,1,0.6363636363636364,60.0,-1,0.68,-27.0,49.0,0.55,1.31,0.67,0.29,0.57,1115.0,0.27,2,762.0,1741,55.0,8.0,0.0,1708,1.29,73.3,76.0,33,Clay,Regular,derrotas,Buena,victorias,player1,True,False,False
4,1,0.6363636363636364,60.0,-1,0.68,-27.0,49.0,0.55,1.31,0.67,0.29,0.57,1115.0,0.27,2,762.0,1741,55.0,8.0,0.0,1708,1.29,73.3,76.0,33,Clay,Regular,derrotas,Buena,victorias,player1,True,False,False
5,-2,0.6283524904214559,55.0,-1,0.63,-96.0,164.0,0.53,1.24,0.65,0.29,0.46,461.0,0.27,1,267.0,1651,45.0,9.0,0.0,1616,1.23,50.0,260.0,35,Clay,Regular,derrotas,Regular,derrotas,player1,True,False,False
5,-2,0.6283524904214559,55.0,-1,0.63,-96.0,164.0,0.53,1.24,0.65,0.29,0.46,461.0,0.27,1,267.0,1651,45.0,9.0,0.0,1616,1.23,50.0,260.0,35,Clay,Regular,derrotas,Regular,derrotas,player1,True,False,False
3,1,0.7201365187713311,45.0,-4,0.65,-81.0,211.0,0.37,1.28,0.64,0.33,0.47,345.0,0.27,1,234.0,1643,50.0,11.0,0.24,1615,1.23,80.0,292.0,28,Clay,Regular,derrotas,Regular,victorias,player2,True,False,False
3,1,0.7201365187713311,45.0,-4,0.65,-81.0,211.0,0.37,1.28,0.64,0.33,0.47,345.0,0.27,1,234.0,1643,50.0,11.0,0.24,1615,1.23,80.0,292.0,28,Clay,Regular,derrotas,Regular,victorias,player2,True,False,False
3,-1,3.9304347826086956,50.0,-1,0.63,338.0,452.0,0.5,1.26,0.67,0.0,0.58,127.0,0.25,0,694.0,1623,60.0,10.0,0.0,1684,1.31,0.0,114.0,-61,Clay,Buena,derrotas,Regular,derrotas,player2,True,False,False
3,-1,3.9304347826086956,50.0,-1,0.63,338.0,452.0,0.5,1.26,0.67,0.0,0.58,127.0,0.25,0,694.0,1623,60.0,10.0,0.0,1684,1.31,0.0,114.0,-61,Clay,Buena,derrotas,Regular,derrotas,player2,True,False,False
1,1,1.145933014354067,40.0,-1,0.62,62.0,479.0,0.43,1.27,0.63,0.0,0.42,115.0,0.27,1,139.0,1660,50.0,12.0,0.0,1575,1.28,63.6,417.0,85,Clay,Regular,derrotas,Regular,victorias,player2,True,False,False
1,1,1.145933014354067,40.0,-1,0.62,62.0,479.0,0.43,1.27,0.63,0.0,0.42,115.0,0.27,1,139.0,1660,50.0,12.0,0.0,1575,1.28,63.6,417.0,85,Clay,Regular,derrotas,Regular,victorias,player2,True,False,False
4,1,0.47478991596638653,65.0,-1,0.67,-124.0,113.0,0.54,1.4,0.65,0.0,0.58,697.0,0.27,0,301.0,1777,65.0,7.0,0.0,1725,1.37,16.7,237.0,52,Clay,Buena,derrotas,Buena,victorias,player1,True,False,False
4,1,0.47478991596638653,65.0,-1,0.67,-124.0,113.0,0.54,1.4,0.65,0.0,0.58,697.0,0.27,0,301.0,1777,65.0,7.0,0.0,1725,1.37,16.7,237.0,52,Clay,Buena,derrotas,Buena,victorias,player1,True,False,False
4,1,2.8482142857142856,50.0,1,0.64,208.0,319.0,0.43,1.28,0.67,0.03,0.46,202.0,0.27,0,699.0,1643,55.0,10.0,0.22,1663,1.3,33.3,111.0,-20,Clay,Regular,victorias,Regular,victorias,player1,True,False,False
4,1,2.8482142857142856,50.0,1,0.64,208.0,319.0,0.43,1.28,0.67,0.03,0.46,202.0,0.27,0,699.0,1643,55.0,10.0,0.22,1663,1.3,33.3,111.0,-20,Clay,Regular,victorias,Regular,victorias,player1,True,False,False
8,1,0.6428571428571429,65.0,1,0.68,-49.0,90.0,0.54,1.34,0.63,0.44,0.67,836.0,0.27,2,546.0,1732,50.0,7.0,0.31,1755,1.24,75.0,139.0,-23,Clay,Regular,victorias,Buena,victorias,player2,True,False,False
8,1,0.6428571428571429,65.0,1,0.68,-49.0,90.0,0.54,1.34,0.63,0.44,0.67,836.0,0.27,2,546.0,1732,50.0,7.0,0.31,1755,1.24,75.0,139.0,-23,Clay,Regular,victorias,Buena,victorias,player2,True,False,False
4,1,1.6233766233766234,70.0,1,0.65,97.0,250.0,0.56,1.37,0.66,0.0,0.62,281.0,0.27,1,492.0,1689,60.0,6.0,0.28,1783,1.34,63.6,153.0,-94,Clay,Buena,victorias,Buena,victorias,player2,True,False,False
4,1,1.6233766233766234,70.0,1,0.65,97.0,250.0,0.56,1.37,0.66,0.0,0.62,281.0,0.27,1,492.0,1689,60.0,6.0,0.28,1783,1.34,63.6,153.0,-94,Clay,Buena,victorias,Buena,victorias,player2,True,False,False
2,-6,0.3516819571865443,20.0,-1,0.95,-847.0,460.0,0.42,1.02,0.75,0.0,0.22,100.0,0.0,0,7.0,1659,55.0,16.0,0.09,1410,1.34,42.9,1307.0,249,Hard,Regular,derrotas,Mala,derrotas,player1,False,False,True
2,-6,0.3516819571865443,20.0,-1,0.95,-847.0,460.0,0.42,1.02,0.75,0.0,0.22,100.0,0.0,0,7.0,1659,55.0,16.0,0.09,1410,1.34,42.9,1307.0,249,Hard,Regular,derrotas,Mala,derrotas,player1,False,False,True
0,-7,1.3463114073145548,12.5,-4,0.63,324.5620457410544,1856.0,0.11,0.95,0.0,0.0,0.0,2.0,0.0,0,4.795494208614071,1380,20.0,7.0,0.0,1443,1.04,23.610156318735616,1563.5280631686012,-63,Hard,Mala,derrotas,Mala,derrotas,player1,False,False,True
0,-7,1.3463114073145548,12.5,-4,0.63,324.5620457410544,1856.0,0.11,0.95,0.0,0.0,0.0,2.0,0.0,0,4.795494208614071,1380,20.0,7.0,0.0,1443,1.04,23.610156318735616,1563.5280631686012,-63,Hard,Mala,derrotas,Mala,derrotas,player1,False,False,True
1,1,1.0740055504162813,35.0,1,0.81,81.0,1161.0,0.35,1.25,0.83,0.0,0.29,11.0,0.25,1,14.0,1512,30.0,13.0,0.0,1508,1.22,33.3,1080.0,4,Hard,Mala,victorias,Mala,victorias,player2,False,False,True
1,1,1.0740055504162813,35.0,1,0.81,81.0,1161.0,0.35,1.25,0.83,0.0,0.29,11.0,0.25,1,14.0,1512,30.0,13.0,0.0,1508,1.22,33.3,1080.0,4,Hard,Mala,victorias,Mala,victorias,player2,False,False,True
0,-2,1.5004524886877828,40.0,-1,0.67,554.0,1658.0,0.23,1.25,0.82,0.0,0.25,3.0,0.0,0,13.0,1454,21.4,12.0,0.0,1486,1.08,25.0,1104.0,-32,Hard,Mala,derrotas,Regular,derrotas,player2,False,False,True
0,-2,1.5004524886877828,40.0,-1,0.67,554.0,1658.0,0.23,1.25,0.82,0.0,0.25,3.0,0.0,0,13.0,1454,21.4,12.0,0.0,1486,1.08,25.0,1104.0,-32,Hard,Mala,derrotas,Regular,derrotas,player2,False,False,True
1,1,3.9203703703703705,55.0,1,0.54,1578.0,2117.0,0.15,1.37,0.94,0.0,0.37,1.0,0.2,0,77.0,1438,16.7,9.0,0.0,1609,1.1,40.0,539.0,-171,Hard,Mala,victorias,Regular,victorias,player2,False,False,True
1,1,3.9203703703703705,55.0,1,0.54,1578.0,2117.0,0.15,1.37,0.94,0.0,0.37,1.0,0.2,0,77.0,1438,16.7,9.0,0.0,1609,1.1,40.0,539.0,-171,Hard,Mala,victorias,Regular,victorias,player2,False,False,True
3,1,0.9211356466876972,55.0,1,0.52,-74.0,876.0,0.0,1.32,0.52,0.41,0.3,27.0,0.21,1,21.0,1629,65.0,9.0,0.3,1595,1.36,55.6,950.0,34,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
3,1,0.9211356466876972,55.0,1,0.52,-74.0,876.0,0.0,1.32,0.52,0.41,0.3,27.0,0.21,1,21.0,1629,65.0,9.0,0.3,1595,1.36,55.6,950.0,34,Clay,Buena,victorias,Regular,victorias,player1,True,False,False
0,1,1.8981868898186889,55.0,1,0.44,645.0,1361.0,0.26,1.4,0.54,0.0,0.34,6.0,0.09,0,43.0,1485,35.0,9.0,0.0,1601,1.25,40.0,716.0,-116,Clay,Mala,victorias,Regular,victorias,player2,True,False,False
0,1,1.8981868898186889,55.0,1,0.44,645.0,1361.0,0.26,1.4,0.54,0.0,0.34,6.0,0.09,0,43.0,1485,35.0,9.0,0.0,1601,1.25,40.0,716.0,-116,Clay,Mala,victorias,Regular,victorias,player2,True,False,False
6,1,1.3971553610503282,55.0,1,0.46,364.0,1277.0,0.25,1.27,0.52,0.0,0.28,8.0,0.12,0,24.0,1468,30.0,9.0,0.34,1520,1.18,50.0,913.0,-52,Clay,Mala,victorias,Regular,victorias,player1,True,False,False
6,1,1.3971553610503282,55.0,1,0.46,364.0,1277.0,0.25,1.27,0.52,0.0,0.28,8.0,0.12,0,24.0,1468,30.0,9.0,0.34,1520,1.18,50.0,913.0,-52,Clay,Mala,victorias,Regular,victorias,player1,True,False,False
0,1,0.6907020872865275,38.5,1,0.49,-488.0,1092.0,0.31,1.29,0.4,0.0,0.45,13.0,0.0,0,3.0,1540,40.0,8.0,0.0,1522,1.3,66.7,1580.0,18,Clay,Regular,victorias,Mala,victorias,player2,True,False,False
0,1,0.6907020872865275,38.5,1,0.49,-488.0,1092.0,0.31,1.29,0.4,0.0,0.45,13.0,0.0,0,3.0,1540,40.0,8.0,0.0,1522,1.3,66.7,1580.0,18,Clay,Regular,victorias,Mala,victorias,player2,True,False,False
1,1,0.8425584255842559,35.0,1,0.44,-255.0,1370.0,0.29,1.26,0.4,0.0,0.3,6.0,0.09,0,3.0,1479,30.0,13.0,0.0,1538,1.22,31.605510637421183,1625.0,-59,Clay,Mala,victorias,Mala,victorias,player2,True,False,False
1,1,0.8425584255842559,35.0,1,0.44,-255.0,1370.0,0.29,1.26,0.4,0.0,0.3,6.0,0.09,0,3.0,1479,30.0,13.0,0.0,1538,1.22,31.605510637421183,1625.0,-59,Clay,Mala,victorias,Mala,victorias,player2,True,False,False
1,1,1.4094827586206897,50.0,1,0.51,286.0,981.0,0.39,1.34,0.55,0.0,0.22,19.0,0.2,0,46.0,1636,55.0,10.0,0.0,1615,1.37,55.293127957927055,695.0,21,Clay,Regular,victorias,Regular,victorias,player1,True,False,False
1,1,1.4094827586206897,50.0,1,0.51,286.0,981.0,0.39,1.34,0.55,0.0,0.22,19.0,0.2,0,46.0,1636,55.0,10.0,0.0,1615,1.37,55.293127957927055,695.0,21,Clay,Regular,victorias,Regular,victorias,player1,True,False,False
4,1,2.4530706836616454,25.0,1,0.32,1255.0,2117.0,0.22,1.11,0.53,0.29,0.31,1.0,0.0,0,29.0,1446,20.0,15.0,0.45,1488,1.11,42.3,862.0,-42,Clay,Mala,victorias,Mala,victorias,player2,True,False,False
4,1,2.4530706836616454,25.0,1,0.32,1255.0,2117.0,0.22,1.11,0.53,0.29,0.31,1.0,0.0,0,29.0,1446,20.0,15.0,0.45,1488,1.11,42.3,862.0,-42,Clay,Mala,victorias,Mala,victorias,player2,True,False,False
0,0,0.3930968494590207,35.40335016386877,-1,0.59,-619.6395735802707,303.0,0.34,0.0,0.0,0.0,0.0,173.0,0.21,0,31.69986915584216,1623,55.0,12.919329967226249,0.0,1500,1.36,56.14021298836758,960.4708960696677,123,Clay,Regular,derrotas,,,player1,True,False,False
0,0,0.3930968494590207,35.40335016386877,-1,0.59,-619.6395735802707,303.0,0.34,0.0,0.0,0.0,0.0,173.0,0.21,0,31.69986915584216,1623,55.0,12.919329967226249,0.0,1500,1.36,56.14021298836758,960.4708960696677,123,Clay,Regular,derrotas,,,player1,True,False,False
0,-2,2.628605769230769,50.0,-6,0.32,1356.0,2187.0,0.15,1.34,0.53,0.0,0.4,1.0,0.0,0,32.0,1429,16.7,10.0,0.0,1582,0.99,50.0,831.0,-153,Clay,Mala,derrotas,Regular,derrotas,player1,True,False,False
0,-2,2.628605769230769,50.0,-6,0.32,1356.0,2187.0,0.15,1.34,0.53,0.0,0.4,1.0,0.0,0,32.0,1429,16.7,10.0,0.0,1582,0.99,50.0,831.0,-153,Clay,Mala,derrotas,Regular,derrotas,player1,True,False,False
0,-1,0.9772727272727273,50.0,-1,0.52,-20.0,903.0,0.32,1.32,0.52,0.0,0.37,25.0,0.0,2,23.0,1571,60.0,10.0,0.0,1599,1.37,50.0,923.0,-28,Clay,Buena,derrotas,Regular,derrotas,player2,True,False,False
0,-1,0.9772727272727273,50.0,-1,0.52,-20.0,903.0,0.32,1.32,0.52,0.0,0.37,25.0,0.0,2,23.0,1571,60.0,10.0,0.0,1599,1.37,50.0,923.0,-28,Clay,Buena,derrotas,Regular,derrotas,player2,True,False,False
0,-3,1.1492349828490127,0.0,-1,0.43,69.92287332837532,1436.0,0.25,0.0,0.0,0.0,0.0,5.0,0.09,0,7.90796840808028,1455,25.0,3.0,0.0,1462,1.1,37.66408687940349,1416.451648062849,-7,Clay,Mala,derrotas,Mala,derrotas,player1,True,False,False
0,-3,1.1492349828490127,0.0,-1,0.43,69.92287332837532,1436.0,0.25,0.0,0.0,0.0,0.0,5.0,0.09,0,7.90796840808028,1455,25.0,3.0,0.0,1462,1.1,37.66408687940349,1416.451648062849,-7,Clay,Mala,derrotas,Mala,derrotas,player1,True,False,False
1,-5,0.9042553191489362,30.0,-2,0.53,-89.0,850.0,0.23,1.14,0.52,0.0,0.32,30.0,0.12,1,22.0,1480,35.0,14.0,0.0,1501,1.22,25.0,939.0,-21,Clay,Mala,derrotas,Mala,derrotas,player1,True,False,False
1,-5,0.9042553191489362,30.0,-2,0.53,-89.0,850.0,0.23,1.14,0.52,0.0,0.32,30.0,0.12,1,22.0,1480,35.0,14.0,0.0,1501,1.22,25.0,939.0,-21,Clay,Mala,derrotas,Mala,derrotas,player1,True,False,False
0,-1,0.968184311574328,26.7,-2,0.38,-57.0,1765.0,0.0,1.12,0.38,0.0,0.12,2.0,0.0,1,2.0,1461,22.2,11.0,0.0,1463,1.11,0.0,1822.0,-2,Clay,Mala,derrotas,Mala,derrotas,player2,True,False,False
0,-1,0.968184311574328,26.7,-2,0.38,-57.0,1765.0,0.0,1.12,0.38,0.0,0.12,2.0,0.0,1,2.0,1461,22.2,11.0,0.0,1463,1.11,0.0,1822.0,-2,Clay,Mala,derrotas,Mala,derrotas,player2,True,False,False
0,-1,4.085201793721973,65.0,-1,0.38,1377.0,1822.0,0.38,1.43,0.57,0.0,0.41,2.0,0.21,0,103.0,1396,20.0,7.0,0.0,1673,1.01,57.9,445.0,-277,Clay,Mala,derrotas,Buena,derrotas,player2,True,False,False
0,-1,4.085201793721973,65.0,-1,0.38,1377.0,1822.0,0.38,1.43,0.57,0.0,0.41,2.0,0.21,0,103.0,1396,20.0,7.0,0.0,1673,1.01,57.9,445.0,-277,Clay,Mala,derrotas,Buena,derrotas,player2,True,False,False
1,-5,0.8773527625986642,20.0,-3,0.43,-201.0,1445.0,0.21,1.05,0.4,0.0,0.15,5.0,0.15,0,3.0,1467,25.0,16.0,0.0,1400,1.11,33.3,1646.0,67,Clay,Mala,derrotas,Mala,derrotas,player1,True,False,False
1,-5,0.8773527625986642,20.0,-3,0.43,-201.0,1445.0,0.21,1.05,0.4,0.0,0.15,5.0,0.15,0,3.0,1467,25.0,16.0,0.0,1400,1.11,33.3,1646.0,67,Clay,Mala,derrotas,Mala,derrotas,player1,True,False,False
1,1,0.7799525504151839,30.0,1,0.75,-370.0,1315.0,0.24,1.22,0.67,0.0,0.29,7.0,0.16,0,3.0,1479,35.0,14.0,0.0,1551,1.26,40.0,1685.0,-72,Hard,Mala,victorias,Mala,victorias,player2,False,False,True
1,1,0.7799525504151839,30.0,1,0.75,-370.0,1315.0,0.24,1.22,0.67,0.0,0.29,7.0,0.16,0,3.0,1479,35.0,14.0,0.0,1551,1.26,40.0,1685.0,-72,Hard,Mala,victorias,Mala,victorias,player2,False,False,True
2,1,0.7471910112359551,33.3,1,0.8,-404.0,1197.0,0.25,1.21,0.67,0.0,0.36,10.0,0.09,0,3.0,1514,40.0,12.0,0.0,1509,1.3,0.0,1601.0,5,Hard,Regular,victorias,Mala,victorias,player1,False,False,True
2,1,0.7471910112359551,33.3,1,0.8,-404.0,1197.0,0.25,1.21,0.67,0.0,0.36,10.0,0.09,0,3.0,1514,40.0,12.0,0.0,1509,1.3,0.0,1601.0,5,Hard,Regular,victorias,Mala,victorias,player1,False,False,True
