match_url,jugador1,jugador2,torneo_nombre,tipo_cancha,cuota1,cuota2,p1_ranking,p2_ranking,p1_rivalry_score,p2_rivalry_score,common_opponents_count,prediction_confidence,p1_predicted_score,p2_predicted_score,predicted_score_diff,p1_surface_specialization_score,p2_surface_specialization_score,p1_form_recent_score,p2_form_recent_score,p1_common_opponents_score,p2_common_opponents_score,p1_h2h_direct_score,p2_h2h_direct_score,p1_ranking_momentum_score,p2_ranking_momentum_score,p1_home_advantage_score,p2_home_advantage_score,p1_strength_of_schedule_score,p2_strength_of_schedule_score,p1_form_win_percentage,p1_form_wins,p1_form_losses,p1_form_status,p1_last_match_date,p1_current_streak_count,p1_current_streak_type,p2_form_win_percentage,p2_form_wins,p2_form_losses,p2_form_status,p2_last_match_date,p2_current_streak_count,p2_current_streak_type,p1_Hard_win_rate,p1_Hard_wins,p1_Hard_losses,p1_Hard_matches,p2_Hard_win_rate,p2_Hard_wins,p2_Hard_losses,p2_Hard_matches,p1_home_wins,p1_home_losses,p2_home_wins,p2_home_losses,p1_home_win_rate,p2_home_win_rate,p1_regional_comfort_win_rate,p2_regional_comfort_win_rate,p1_elo,p2_elo,p1_pts,p1_prox_pts,p1_pts_max,p1_defense_points,p2_pts,p2_prox_pts,p2_pts_max,p2_defense_points,h2h_total_matches,h2h_jugador1_wins,h2h_jugador2_wins,h2h_win_rate_jugador1,h2h_win_diff,p1_Clay_win_rate,p1_Clay_wins,p1_Clay_losses,p1_Clay_matches,p2_Clay_win_rate,p2_Clay_wins,p2_Clay_losses,p2_Clay_matches,p1_Grass_win_rate,p1_Grass_wins,p1_Grass_losses,p1_Grass_matches,p2_Grass_win_rate,p2_Grass_wins,p2_Grass_losses,p2_Grass_matches,actual_winner,ranking_diff,ranking_ratio,is_upset_potential,elo_diff,elo_advantage,elo_competitive,surface_Clay,surface_Grass,surface_Hard,match_competitiveness
https://www.flashscore.co/match/tennis/munk-mortensen-rebecca-sieg-madison/ll6NWsL6/#/h2h,Rebecca Munk Mortensen,Madison Sieg,W35 Ystad (Suecia),Clay,3.25,1.29,63.0,200.0,9.0402,0.0,2,53.6,2.49,2.16,0.33,0.46,0.46,1.32,1.28,0.35,0.0,0.0,0.0,0.56,0.55,0.0,0.0,0.27,0.26,45.0,9.0,11.0,Regular,17.06.2026,1,victorias,45.0,9.0,11.0,Regular,16.06.2026,1,victorias,,,,,,,,,,,,,,,,,1655,1580,168.0,168.0,168.0,0.0,132.0,132.0,132.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player2,-137.0,0.31343283582089554,0,75,1,1,True,False,False,0
https://www.flashscore.co/match/tennis/bajraliu-linea-tsygourova-katerina/4ptWnjZ8/#/h2h,Linea Bajraliu,Katerina Tsygourova,W35 Ystad (Suecia),Clay,2.02,1.68,181.0,182.0,30.0116,5.0,4,51.6,2.63,2.47,0.17,0.38,0.45,1.37,1.37,0.54,0.25,0.0,0.0,0.55,0.55,0.0,0.0,0.27,0.27,70.0,14.0,6.0,Buena,17.06.2026,1,victorias,60.0,12.0,8.0,Buena,17.06.2026,1,victorias,,,,,,,,,,,,,,,,,1740,1694,135.0,135.0,135.0,0.0,134.0,134.0,134.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player1,-1.0,0.9890710382513661,0,46,1,1,True,False,False,3
https://www.flashscore.co/match/tennis/ivanov-valentina-skoog-isabel/SfNgo48M/#/h2h,Valentina Ivanov,Isabel Skoog,W35 Ystad (Suecia),Clay,1.2,4.0,140.0,181.0,0.0,0.0,0,53.1,2.38,2.1,0.27,0.45,0.5,1.47,1.29,0.0,0.0,0.0,0.0,0.55,0.55,0.0,0.0,0.27,0.25,70.0,14.0,6.0,Buena,17.06.2026,1,victorias,40.0,8.0,12.0,Regular,17.06.2026,1,victorias,,,,,,,,,,,,,,,,,1732,1529,141.0,141.0,141.0,0.0,135.0,135.0,135.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player1,-41.0,0.7692307692307693,0,203,1,0,True,False,False,2
https://www.flashscore.co/match/tennis/frodin-thea-zanolini-camilla/E79MfgiI/#/h2h,Thea Frodin,Camilla Zanolini,W35 Ystad (Suecia),Clay,1.62,2.15,200.0,98.0,5.0466,0.0,2,50.8,2.34,2.42,-0.07,0.44,0.42,1.28,1.56,0.25,0.0,0.0,0.0,0.55,0.55,0.0,0.0,0.27,0.24,50.0,10.0,10.0,Regular,17.06.2026,1,victorias,70.0,14.0,6.0,Buena,16.06.2026,6,victorias,,,,,,,,,,,,,,,,,1593,1764,132.0,132.0,132.0,0.0,152.0,152.0,152.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player1,102.0,2.0202020202020203,1,-171,0,0,True,False,False,0
https://www.flashscore.co/match/tennis/wolff-vivian-nilsson-lea/pIjWk6ZR/#/h2h,Vivian Wolff,Lea Nilsson,W35 Ystad (Suecia),Clay,1.45,2.55,200.0,181.0,7.5429,6.0,4,51.4,2.56,2.41,0.14,0.52,0.42,1.33,1.35,0.35,0.27,0.0,0.0,0.55,0.55,0.0,0.0,0.25,0.22,55.0,11.0,9.0,Regular,16.06.2026,1,victorias,60.0,12.0,8.0,Buena,16.06.2026,1,victorias,,,,,,,,,,,,,,,,,1702,1675,132.0,132.0,132.0,0.0,135.0,135.0,135.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player2,19.0,1.098901098901099,0,27,1,1,True,False,False,2
https://www.flashscore.co/match/tennis/ortenzi-jasmin-yaneva-elizara/Y3btEW6l/#/h2h,Jazmin Ortenzi,Elizara Yaneva,Brescia (Italia),Clay,2.23,1.64,22.0,41.0,2.5,0.0,1,52.8,2.68,2.39,0.29,0.62,0.53,1.4,1.32,0.17,0.0,0.0,0.0,0.61,0.61,0.0,0.0,0.27,0.25,70.0,14.0,6.0,Buena,16.06.2026,1,victorias,50.0,10.0,10.0,Regular,15.06.2026,1,victorias,,,,,,,,,,,,,,,,,1729,1658,223.0,223.0,223.0,0.0,187.0,187.0,187.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player2,-19.0,0.5238095238095238,0,71,1,1,True,False,False,2
https://www.flashscore.co/match/tennis/bulgaru-miriam-bianca-mintegi-del-olmo-ane/00Zfc05S/#/h2h,Miriam Bianca Bulgaru,Ane Mintegi Del Olmo,Brescia (Italia),Clay,3.0,1.38,157.0,176.0,5.0276,0.0,3,52.2,2.34,2.56,-0.22,0.64,0.66,1.12,1.37,0.26,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.27,0.27,25.0,5.0,15.0,Mala,16.06.2026,1,victorias,65.0,13.0,7.0,Buena,16.06.2026,1,victorias,,,,,,,,,,,,,,,,,1529,1739,138.0,138.0,138.0,0.0,135.0,135.0,135.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player2,-19.0,0.8870056497175142,0,-210,0,0,True,False,False,2
https://www.flashscore.co/match/tennis/ouakaa-aziz-scaglia-mathieu/dhfK8csR/#/h2h,Aziz Ouakaa,Mathieu Scaglia,M15 Monastir 23 (Túnez),Hard,1.38,2.8,190.0,77.0,5.031,0.0,1,53.1,2.48,2.19,0.29,0.41,0.35,1.4,1.33,0.09,0.0,0.0,0.0,0.92,0.93,0.0,0.0,0.12,0.0,65.0,13.0,7.0,Buena,17.06.2026,1,victorias,50.0,10.0,10.0,Regular,16.06.2026,1,victorias,,,,,,,,,,,,,,,,,1654,1569,133.0,133.0,133.0,0.0,161.0,161.0,161.0,0.0,1,0,0,0.0,0,,,,,,,,,,,,,,,,,player1,113.0,2.4358974358974357,1,85,1,1,False,False,True,0
https://www.flashscore.co/match/tennis/pascual-ferra-roger-piatti-rocco/l80Ilxje/#/h2h,Roger Pascual Ferra,Rocco Piatti,M15 Monastir 23 (Túnez),Hard,1.28,3.35,176.0,131.0,0.0,5.0,1,50.4,2.51,2.48,0.04,0.43,0.41,1.41,1.39,0.0,0.09,0.0,0.0,0.92,0.92,0.0,0.0,0.2,0.15,65.0,13.0,7.0,Buena,16.06.2026,1,victorias,60.0,12.0,8.0,Buena,17.06.2026,1,victorias,,,,,,,,,,,,,,,,,1692,1633,135.0,135.0,135.0,0.0,143.0,143.0,143.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player1,45.0,1.3333333333333333,0,59,1,1,False,False,True,2
https://www.flashscore.co/match/tennis/frydrych-viktor-yazdani-ali/Q7pj3y5l/#/h2h,Viktor Frydrych,Ali Yazdani,M15 Monastir 23 (Túnez),Hard,1.71,2.0,197.0,94.0,5.0188,0.0,1,52.2,2.31,2.12,0.19,0.37,0.35,1.28,1.28,0.09,0.0,0.0,0.0,0.92,0.92,0.0,0.0,0.16,0.0,40.0,8.0,12.0,Regular,16.06.2026,1,victorias,40.0,8.0,12.0,Regular,17.06.2026,1,victorias,,,,,,,,,,,,,,,,,1553,1550,132.0,132.0,132.0,0.0,154.0,154.0,154.0,0.0,0,0,0,0.5,0,,,,,,,,,,,,,,,,,player1,103.0,2.0736842105263156,1,3,1,1,False,False,True,0
