p1_rivalry_score,p2_common_opponents_score,p1_elo,p1_form_win_percentage,ranking_diff,match_competitiveness,p2_elo,p1_ranking,p1_surface_specialization_score,p2_form_wins,p2_form_losses,p2_surface_specialization_score,p2_form_win_percentage,ranking_ratio,p2_pts,p1_form_recent_score,p2_ranking,common_opponents_count,p1_pts,elo_diff,p2_form_recent_score,p2_strength_of_schedule_score,p1_form_wins,p1_strength_of_schedule_score,p1_current_streak_count,p1_form_losses,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
6.311999999999999,0.24,1608,45.0,12.0,2,1699,81.0,0.52,13.0,7.0,0.0,65.0,1.1571428571428573,165.0,1.2,69.0,4,159.0,-91,1.34,0.09,9.0,0.09,-3,11.0,Clay,Regular,derrotas,Buena,derrotas,player1,True,False,False
10.0444,0.0,1634,60.0,-92.0,1,1611,62.0,0.52,9.0,11.0,0.47,45.0,0.4,139.0,1.28,154.0,3,169.0,23,1.24,0.2,12.0,0.24,-4,8.0,Clay,Buena,derrotas,Regular,derrotas,player2,True,False,False
11.5491,0.0,1409,20.0,7.0,3,1460,100.0,0.54,7.0,13.0,0.0,35.0,1.0638297872340425,154.0,0.99,93.0,5,152.0,-51,1.14,0.0,4.0,0.21,-2,16.0,Clay,Mala,derrotas,Mala,derrotas,player2,True,False,False
6.5424,0.0,1724,55.0,2.0,3,1746,102.0,0.49,15.0,5.0,0.59,75.0,1.00990099009901,152.0,1.44,100.0,4,151.0,-22,1.53,0.27,11.0,0.27,4,9.0,Clay,Regular,victorias,Excelente,victorias,player2,True,False,False
0.9999999999999998,0.11,1726,70.0,-21.0,2,1739,155.0,0.42,13.0,7.0,0.49,65.0,0.8757062146892656,135.0,1.53,176.0,2,139.0,-13,1.47,0.21,14.0,0.09,4,6.0,Hard,Buena,victorias,Buena,victorias,player2,False,False,True
6.5429,-0.0,1597,55.0,-57.0,1,1771,140.0,0.41,14.0,6.0,0.44,70.0,0.7070707070707071,132.0,1.6,197.0,2,141.0,-174,1.67,0.12,11.0,0.21,1,9.0,Grass,Regular,victorias,Buena,victorias,player2,False,True,False
0.0,-0.0,1633,45.0,-99.0,1,1746,98.0,0.34,14.0,6.0,0.0,70.0,0.494949494949495,132.0,1.51,197.0,1,152.0,-113,1.75,0.19,9.0,0.27,1,11.0,Grass,Regular,victorias,Buena,victorias,player1,False,True,False
0.0,-0.0,1685,40.0,-145.0,0,1527,52.0,0.56,8.0,12.0,0.42,40.0,0.26262626262626265,132.0,1.51,197.0,0,176.0,158,1.51,0.14,8.0,0.27,1,12.0,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
6.5452,-0.0,1896,85.0,-91.0,1,1751,106.0,0.0,15.0,5.0,0.39,75.0,0.5353535353535354,132.0,1.88,197.0,2,150.0,145,1.66,0.14,17.0,0.27,11,3.0,Grass,Excelente,victorias,Excelente,victorias,player2,False,True,False
13.5472,0.11,1791,60.0,176.0,0,1766,200.0,0.55,10.0,10.0,0.0,50.0,8.0,217.0,1.53,24.0,11,132.0,25,1.43,0.27,12.0,0.27,1,8.0,Grass,Buena,victorias,Regular,victorias,player1,False,True,False
