p1_common_opponents_score,p1_strength_of_schedule_score,match_competitiveness,p2_ranking_momentum_score,p2_ranking,p1_surface_specialization_score,p2_surface_specialization_score,ranking_diff,p2_current_streak_count,common_opponents_count,p1_ranking,p2_regional_comfort_win_rate,p2_form_recent_score,p2_pts,ranking_ratio,elo_diff,p2_form_win_percentage,p2_elo,p1_pts,p2_common_opponents_score,p2_form_losses,p1_ranking_momentum_score,p1_current_streak_count,p1_elo,p1_form_win_percentage,p1_form_recent_score,surface_Clay,surface_Grass,surface_Hard,tipo_cancha_Clay,tipo_cancha_Grass,tipo_cancha_Hard,tipo_cancha_Harditf women: 12finisheddmitruk k.khomutsianskaya d.mansouri y.milovanovic e.207575--,p1_form_status_Buena,p1_form_status_Excelente,p1_form_status_Mala,p1_form_status_Regular,p1_current_streak_type_derrotas,p1_current_streak_type_victorias,p2_form_status_Buena,p2_form_status_Excelente,p2_form_status_Mala,p2_form_status_Regular,p2_current_streak_type_derrotas,p2_current_streak_type_victorias,actual_winner_player1,actual_winner_player2
0.8854166666666667,0.0,0.6666666666666666,1.0,0.034888989578613507,0.0,0.0,0.5008165487207404,0.45,0.42857142857142855,0.02757352941176471,0.375,0.3670212765957446,0.17164948453608248,0.06468461289964415,0.29795158286778395,0.5555555555555556,0.7559429477020605,0.26157485637039535,0.47560975609756095,0.5714285714285714,0.8965517241379312,0.13043478260869565,0.5555555555555554,0.4542974079126876,0.37704918032786877,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True
0.0,0.0,0.3333333333333333,1.0,0.038966923425464435,0.0,0.0,0.5242242787152968,0.45,0.2857142857142857,0.07123161764705882,0.5,0.37765957446808507,0.16082474226804125,0.14641059430966322,0.26070763500931093,0.6111111111111112,0.6973058637083995,0.11625549172017573,0.8048780487804879,0.49999999999999994,0.9827586206896551,0.3913043478260869,0.4722222222222219,0.6589358799454298,0.4262295081967213,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,True
0.9583333333333335,0.0,0.3333333333333333,0.920353982300885,0.029451744449478935,0.0,0.0,0.487751769188895,0.35,0.5714285714285714,0.0,0.4,0.3617021276595745,0.19639175257731958,0.004667503166066542,1.0,0.5,0.6402535657686212,1.0,0.0,0.6428571428571428,0.9310344827586208,0.4782608695652174,0.9999999999999996,0.7953615279672578,0.4699453551912568,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False
0.33333333333333337,0.0,0.3333333333333333,1.0,0.02492070684186679,0.0,0.0,0.523135547087643,0.45,0.14285714285714285,0.05514705882352941,0.429,0.3617021276595745,0.21829896907216495,0.17296495927758213,0.43389199255121036,0.5,0.7131537242472268,0.15309226089895234,0.5975609756097561,0.6428571428571428,0.9913793103448276,0.3913043478260869,0.6228070175438596,0.5907230559345157,0.42076502732240434,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,True
0.625,0.0,0.6666666666666666,0.9026548672566372,0.04893520616221115,0.0,0.0,0.49537289058247147,0.55,0.2857142857142857,0.03262867647058823,0.5,0.37765957446808507,0.12809278350515466,0.05362629765835711,0.41713221601489753,0.5555555555555556,0.6529318541996831,0.23622845555931057,0.0,0.5714285714285714,0.8879310344827587,0.21739130434782608,0.5540935672514617,0.5907230559345157,0.3934426229508196,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,True
0.875,0.0,0.6666666666666666,0.920353982300885,0.022655188038060717,0.0,0.0,0.495100707675558,0.4,0.6428571428571428,0.0055147058823529415,0.0,0.35106382978723405,0.22886597938144332,0.026050776788862612,0.9813780260707634,0.4444444444444445,0.5166402535657686,0.5488340655626901,0.573170731707317,0.7142857142857142,0.9913793103448276,0.21739130434782608,0.871345029239766,0.5907230559345157,0.3934426229508196,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False
0.8229166666666667,0.0,0.6666666666666666,1.0,0.025826914363389217,0.0,0.0,0.49591725639629836,0.45,0.6428571428571428,0.010110294117647058,0.636,0.37765957446808507,0.2175257731958763,0.035818444986929945,0.7411545623836127,0.6111111111111112,0.7638668779714739,0.45082798242649536,0.9999999999999999,0.49999999999999994,0.9051724137931035,0.30434782608695654,0.9108187134502921,0.7953615279672578,0.42076502732240434,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False
0.0,0.0,1.0,1.0,0.038060715903942006,0.0,0.0,0.5073489384866631,0.45,0.21428571428571427,0.04181985294117647,0.429,0.37765957446808507,0.16237113402061856,0.08872866750896714,0.17318435754189943,0.6111111111111112,0.7686212361331219,0.20108144643460626,0.8292682926829269,0.49999999999999994,0.8879310344827587,0.21739130434782608,0.4692982456140351,0.5225102319236017,0.38797814207650266,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,False
1.0,0.0,0.6666666666666666,0.920353982300885,0.027639329406434078,0.0,0.0,0.4972781709308656,0.4,0.7142857142857142,0.014246323529411766,0.625,0.35106382978723405,0.20335051546391752,0.04468448227440645,0.48603351955307256,0.4444444444444445,0.7099841521394614,0.37918215613382894,0.7926829268292683,0.7142857142857142,0.9051724137931035,0.13043478260869565,0.6608187134502921,0.3860845839017736,0.3715846994535519,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True
0.8020833333333334,0.0,0.6666666666666666,0.9115044247787611,0.035795197100135935,0.0,0.0,0.4970059880239522,0.4,0.42857142857142855,0.022058823529411766,0.5,0.3617021276595745,0.1711340206185567,0.05093100854512853,0.7243947858472998,0.5,0.6133122028526148,0.29638391348428517,0.5121951219512195,0.6428571428571428,0.8965517241379312,0.21739130434782608,0.7587719298245612,0.5225102319236017,0.38797814207650266,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,False
0.0,0.37037037037037035,1.0,0.4601769911504425,0.0,1.0,0.9999999999999999,0.5062602068590093,0.75,0.07142857142857142,0.0013786764705882347,0.667,0.8297872340425532,1.0,0.12940439413251528,0.5381750465549348,0.9444444444444445,0.4817749603803487,0.8469077391010477,0.36585365853658536,0.07142857142857142,0.4482758620689656,1.0,0.49122807017543835,1.0000000000000002,0.8524590163934426,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True
0.0,0.37037037037037035,1.0,0.4601769911504425,0.0,1.0,0.9999999999999999,0.5062602068590093,0.75,0.07142857142857142,0.0013786764705882347,0.667,0.8297872340425532,1.0,0.12940439413251528,0.5381750465549348,0.9444444444444445,0.4817749603803487,0.8469077391010477,0.36585365853658536,0.07142857142857142,0.4482758620689656,1.0,0.49122807017543835,1.0000000000000002,0.8524590163934426,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True
0.0,0.37037037037037035,1.0,0.4601769911504425,0.0,1.0,0.9999999999999999,0.5062602068590093,0.75,0.07142857142857142,0.0013786764705882347,0.667,0.8297872340425532,1.0,0.12940439413251528,0.5381750465549348,0.9444444444444445,0.4817749603803487,0.8469077391010477,0.36585365853658536,0.07142857142857142,0.4482758620689656,1.0,0.49122807017543835,1.0000000000000002,0.8524590163934426,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True
0.0,0.37037037037037035,1.0,0.4601769911504425,0.0,1.0,0.9999999999999999,0.5062602068590093,0.75,0.07142857142857142,0.0013786764705882347,0.667,0.8297872340425532,1.0,0.12940439413251528,0.5381750465549348,0.9444444444444445,0.4817749603803487,0.8469077391010477,0.36585365853658536,0.07142857142857142,0.4482758620689656,1.0,0.49122807017543835,1.0000000000000002,0.8524590163934426,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True
0.0,0.37037037037037035,1.0,0.4601769911504425,0.0,1.0,0.9999999999999999,0.5062602068590093,0.75,0.07142857142857142,0.0013786764705882347,0.667,0.8297872340425532,1.0,0.12940439413251528,0.5381750465549348,0.9444444444444445,0.4817749603803487,0.8469077391010477,0.36585365853658536,0.07142857142857142,0.4482758620689656,1.0,0.49122807017543835,1.0000000000000002,0.8524590163934426,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True
0.0,0.37037037037037035,1.0,0.4601769911504425,0.0,1.0,0.9999999999999999,0.5062602068590093,0.75,0.07142857142857142,0.0013786764705882347,0.667,0.8297872340425532,1.0,0.12940439413251528,0.5381750465549348,0.9444444444444445,0.4817749603803487,0.8469077391010477,0.36585365853658536,0.07142857142857142,0.4482758620689656,1.0,0.49122807017543835,1.0000000000000002,0.8524590163934426,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True
0.0,0.37037037037037035,0.3333333333333333,0.4513274336283186,0.036701404621658364,0.9058823529411765,0.9512195121951219,0.4861186717474143,0.9,0.07142857142857142,0.004595588235294118,0.6,0.8297872340425532,0.21623711340206186,0.012175678886992594,0.35009310986964615,0.888888888888889,0.4326465927099843,0.6269009800608314,0.36585365853658536,0.14285714285714285,0.4482758620689656,0.4782608695652174,0.29824561403508776,0.5907230559345157,0.8469945355191256,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True
0.0,0.37037037037037035,0.3333333333333333,0.4513274336283186,0.036701404621658364,0.9058823529411765,0.9512195121951219,0.4861186717474143,0.9,0.07142857142857142,0.004595588235294118,0.6,0.8297872340425532,0.21623711340206186,0.012175678886992594,0.35009310986964615,0.888888888888889,0.4326465927099843,0.6269009800608314,0.36585365853658536,0.14285714285714285,0.4482758620689656,0.4782608695652174,0.29824561403508776,0.5907230559345157,0.8469945355191256,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True
