p2_ranking,p1_current_streak_count,p1_form_recent_score,p1_pts,p1_elo,p1_ranking_momentum_score,p2_elo,p2_ranking_momentum_score,p2_pts,p1_strength_of_schedule_score,p2_current_streak_count,match_competitiveness,p2_common_opponents_score,p2_surface_specialization_score,p2_form_losses,p1_surface_specialization_score,ranking_diff,p1_common_opponents_score,p1_form_win_percentage,ranking_ratio,p1_ranking,elo_diff,common_opponents_count,p2_form_recent_score,p2_form_win_percentage,p2_regional_comfort_win_rate,tipo_cancha,p1_form_status,p1_current_streak_type,p2_form_status,p2_current_streak_type,actual_winner,surface_Clay,surface_Grass,surface_Hard
58.0,2,1.83,318.0,1832,1.0,1731,1.04,895.0,0.12,-3,0,-0.0,0.47,12.0,0.0,122.0,-0.0,85.0,3.0508474576271185,180.0,101,1,1.42,40.0,33.300000000000004,Grass,Excelente,victorias,Regular,derrotas,player1,False,True,False
51.0,-1,1.3,970.0,1736,1.16,1717,1.04,948.0,0.27,-4,3,0.19,0.0,11.0,0.0,-4.0,0.17,40.0,0.9038461538461539,47.0,19,14,1.29,45.0,41.02148027397447,Grass,Regular,derrotas,Regular,derrotas,player1,False,True,False
453.0,2,1.61,629.0,1748,1.03,1766,0.95,101.0,0.27,5,0,0.0,0.6,5.0,0.0,-356.0,0.0,55.0,0.21365638766519823,97.0,-18,3,1.87,75.0,79.3081237115294,Grass,Regular,victorias,Excelente,victorias,player1,False,True,False
41.0,-2,1.42,994.0,1772,1.04,1711,1.05,1130.0,0.27,-4,3,0.08,0.52,12.0,0.57,4.0,0.12,50.0,1.0714285714285714,45.0,61,11,1.3,40.0,70.3035270194508,Grass,Regular,derrotas,Regular,derrotas,player1,False,True,False
184.0,-1,1.38,1370.0,1798,1.05,1668,1.0,315.0,0.27,2,0,0.0,0.48,9.0,0.0,-152.0,0.03,40.0,0.17297297297297298,32.0,130,4,1.61,55.0,57.791037440526786,Grass,Regular,derrotas,Regular,victorias,player1,False,True,False
62.0,-4,1.29,2449.0,1722,1.07,1739,1.04,1012.0,0.27,-2,2,0.02,0.0,9.0,0.0,-46.0,0.03,30.0,0.25396825396825395,16.0,-17,4,1.53,55.0,40.965603949987134,Grass,Mala,derrotas,Regular,derrotas,player2,False,True,False
75.0,-1,1.45,1051.0,1796,1.15,1779,1.04,933.0,0.27,-1,2,0.08,0.0,10.0,0.55,-17.0,0.07,50.0,0.7631578947368421,58.0,17,10,1.41,50.0,44.43904314844455,Grass,Regular,derrotas,Regular,derrotas,player1,False,True,False
19.0,-1,1.43,479.0,1746,1.02,1874,1.06,1918.0,0.27,-1,0,0.08,0.67,9.0,0.41,136.0,0.06,50.0,7.75,155.0,-128,10,1.46,55.0,66.41441662687346,Grass,Regular,derrotas,Regular,derrotas,player2,False,True,False
479.0,-1,1.56,1009.0,1783,1.15,1668,0.96,115.0,0.27,2,0,0.0,0.58,9.0,0.44,-416.0,0.03,65.0,0.13125,63.0,115,4,1.58,55.0,52.6054970799783,Grass,Buena,derrotas,Regular,victorias,player2,False,True,False
140.0,-1,1.66,888.0,1818,1.04,1756,1.02,545.0,0.27,-4,1,0.02,0.59,12.0,0.0,-56.0,0.02,70.0,0.5957446808510638,84.0,62,5,1.38,40.0,65.43480667362809,Grass,Buena,derrotas,Regular,derrotas,player1,False,True,False
23.0,-1,1.68,253.0,1806,0.99,1714,1.06,1800.0,0.27,-5,0,0.0,0.65,12.0,0.48,250.0,0.0,70.0,11.375,273.0,92,3,1.4,40.0,65.68244536956021,Grass,Buena,derrotas,Regular,derrotas,player1,False,True,False
454.0,1,1.4,172.0,1673,0.64,1711,0.62,101.0,0.19,1,0,0.16,0.52,7.0,0.53,-150.0,0.0,65.0,0.6681318681318681,304.0,-38,1,1.36,65.0,50.13451174250337,Clay,Buena,victorias,Buena,victorias,player2,True,False,False
437.0,6,1.54,193.0,1837,0.64,1730,0.62,107.0,0.12,1,0,0.24,0.52,6.0,0.59,-168.0,0.24,85.0,0.6141552511415526,269.0,107,4,1.37,70.0,46.78225595929424,Clay,Excelente,victorias,Buena,victorias,player1,True,False,False
274.0,1,1.51,265.0,1632,1.0,1692,0.98,192.0,0.27,1,1,0.0,0.43,8.0,0.53,-58.0,0.0,45.0,0.7854545454545454,216.0,-60,3,1.64,60.0,54.947111566690765,Grass,Regular,victorias,Buena,victorias,player2,False,True,False
326.0,1,1.6,386.0,1675,1.01,1701,0.97,157.0,0.27,1,0,-0.0,0.0,8.0,0.45,-172.0,-0.0,55.0,0.4709480122324159,154.0,-26,1,1.62,60.0,60.07037053940731,Grass,Regular,victorias,Buena,victorias,player2,False,True,False
242.0,1,1.57,259.0,1672,1.0,1689,0.99,231.0,0.25,1,2,0.02,0.0,10.0,0.0,-20.0,0.02,60.0,0.9135802469135802,222.0,-17,5,1.52,50.0,59.16668935787988,Grass,Buena,victorias,Regular,victorias,player2,False,True,False
423.0,1,1.64,344.0,1715,1.01,1606,0.97,136.0,0.27,1,0,0.0,0.49,10.0,0.0,-210.0,0.0,65.0,0.5023584905660378,213.0,109,2,1.57,50.0,60.0752957322249,Grass,Buena,victorias,Regular,victorias,player1,False,True,False
461.0,1,1.55,98.0,1652,0.95,1535,0.96,121.0,0.24,1,1,0.02,0.38,13.0,0.45,80.0,0.03,55.0,1.170995670995671,541.0,117,3,1.43,35.0,63.513909600501194,Grass,Regular,victorias,Mala,victorias,player1,False,True,False
324.0,1,1.55,334.0,1719,1.01,1714,0.98,197.0,0.27,1,0,0.02,0.0,6.0,0.46,-107.0,0.02,60.0,0.6676923076923077,217.0,5,4,1.64,70.0,59.56046407706777,Grass,Buena,victorias,Buena,victorias,player1,False,True,False
261.0,1,1.6,373.0,1717,1.01,1705,1.0,266.0,0.27,1,1,0.0,0.47,7.0,0.0,-67.0,0.0,55.0,0.7404580152671756,194.0,12,3,1.64,65.0,63.87034159090369,Grass,Regular,victorias,Buena,victorias,player2,False,True,False
308.0,1,1.5,365.0,1674,1.01,1666,0.94,218.0,0.27,1,0,0.02,0.0,10.0,0.0,-107.0,0.03,50.0,0.6504854368932039,201.0,8,5,1.54,50.0,67.343080456156,Grass,Regular,victorias,Regular,victorias,player1,False,True,False
287.0,-1,1.34,252.0,1654,0.65,1589,0.64,185.0,0.27,-4,1,0.0,0.3,11.0,0.52,-60.0,0.29,60.0,0.7881944444444444,227.0,65,2,1.22,45.0,50.91419043978327,Clay,Buena,derrotas,Regular,derrotas,player1,True,False,False
332.0,-1,1.34,322.0,1677,0.65,1589,0.63,151.0,0.25,-1,0,0.29,0.5,11.0,0.52,-153.0,0.22,60.0,0.5375375375375375,179.0,88,4,1.18,45.0,59.37800189939183,Clay,Buena,derrotas,Regular,derrotas,player1,True,False,False
136.0,-1,1.38,79.0,1800,0.61,1670,0.66,450.0,0.27,-1,0,0.0,0.53,10.0,0.6,385.0,0.19,65.0,3.802919708029197,521.0,130,3,1.26,50.0,25.072043335266592,Clay,Buena,derrotas,Regular,derrotas,player1,True,False,False
103.0,-1,1.23,128.0,1582,0.63,1670,0.67,600.0,0.25,-1,0,0.29,0.54,10.0,0.52,275.0,0.0,45.0,3.6346153846153846,378.0,-88,3,1.26,50.0,17.985273811309614,Clay,Regular,derrotas,Regular,derrotas,player2,True,False,False
209.0,-2,1.4,256.0,1724,0.65,1669,0.65,272.0,0.27,-1,2,0.22,0.56,8.0,0.62,16.0,0.0,65.0,1.0714285714285714,225.0,55,1,1.33,60.0,71.64072485762098,Clay,Buena,derrotas,Buena,derrotas,player2,True,False,False
280.0,-2,1.16,276.0,1599,0.65,1706,0.64,189.0,0.22,-1,1,0.08,0.49,6.0,0.53,-74.0,0.24,45.0,0.7330960854092526,206.0,-107,6,1.36,70.0,51.86587727743613,Clay,Regular,derrotas,Buena,derrotas,player2,True,False,False
95.0,-6,1.19,259.0,1601,0.65,1720,0.67,633.0,0.26,-1,0,0.34,0.52,10.0,0.0,126.0,0.0,40.0,2.3020833333333335,221.0,-119,4,1.25,50.0,62.83182995825231,Clay,Regular,derrotas,Regular,derrotas,player2,True,False,False
245.0,-2,1.32,188.0,1635,0.64,1642,0.71,225.0,0.18,-1,2,0.0,0.51,8.0,0.53,36.0,0.24,60.0,1.1422764227642277,281.0,-7,2,1.32,60.0,54.68884271752231,Clay,Buena,derrotas,Buena,derrotas,player2,True,False,False
354.0,-1,1.37,274.0,1698,0.71,1584,0.63,141.0,0.21,-2,0,0.0,0.42,11.0,0.44,-147.0,0.0,65.0,0.5830985915492958,207.0,114,1,1.23,45.0,51.569675181186945,Clay,Buena,derrotas,Regular,derrotas,player1,True,False,False
106.0,-1,1.49,251.0,1812,0.65,1703,0.67,585.0,0.21,-2,0,0.0,0.58,8.0,0.56,123.0,0.08,85.0,2.1401869158878504,229.0,109,2,1.3,60.0,56.85651408524363,Clay,Excelente,derrotas,Buena,derrotas,player1,True,False,False
33.0,-2,1.61,467.0,1721,1.02,1719,1.06,1405.0,0.27,-3,0,0.0,0.69,14.0,0.0,128.0,0.0,60.0,4.735294117647059,161.0,2,3,1.33,30.0,66.92190123851158,Grass,Buena,derrotas,Mala,derrotas,player1,False,True,False
268.0,-2,1.44,660.0,1882,1.03,1816,0.98,196.0,0.27,-2,0,0.14,0.0,9.0,0.62,-147.0,0.13,50.0,0.44981412639405205,121.0,66,11,1.41,55.0,51.940501455996554,Grass,Regular,derrotas,Regular,derrotas,player2,False,True,False
158.13081934169682,-1,1.42,731.0,1838,0.67,1740,0.0,656.3623635005414,0.27,1,0,0.19,0.65,6.0,0.56,-127.83873618038649,0.24,70.0,0.4407304738807508,104.0,98,3,1.35,70.0,32.02729360267967,Clay,Buena,derrotas,Buena,victorias,player1,True,False,False
262.0,-1,1.18,131.0,1591,0.63,1779,0.61,266.0,0.27,5,0,0.31,0.64,6.0,0.54,174.0,0.0,40.0,1.6577946768060836,436.0,-188,3,1.49,70.0,71.38188931218839,Clay,Regular,derrotas,Buena,victorias,player1,True,False,False
131.0,-2,1.32,533.0,1681,0.66,1758,0.67,571.0,0.27,-1,2,0.0,0.56,6.0,0.56,11.0,0.2,60.0,1.0757575757575757,142.0,-77,1,1.37,70.0,52.85890555090712,Clay,Buena,derrotas,Buena,derrotas,player1,True,False,False
