p1_common_opponents_score,p1_strength_of_schedule_score,match_competitiveness,p2_ranking_momentum_score,p2_ranking,p1_surface_specialization_score,p2_surface_specialization_score,ranking_diff,p2_current_streak_count,common_opponents_count,p1_ranking,p2_regional_comfort_win_rate,p2_form_recent_score,p2_pts,ranking_ratio,elo_diff,p2_form_win_percentage,p2_elo,p1_pts,p2_common_opponents_score,p2_form_losses,p1_ranking_momentum_score,p1_current_streak_count,p1_elo,p1_form_win_percentage,p1_form_recent_score,p1_prob_win
3.5867799770738786,-2.0323587325495485,1.210979321551756,1.6438446697939098,-0.7084599073691954,-1.570709366538152,-1.5772896936524086,-0.049115810299777206,-0.5314526475228368,0.8635644284498865,-0.6699406258256925,-0.8053517046081552,-2.0466817630310086,0.09079936432329659,-0.3365223680142438,-1.4514916577938843,-0.3057903164656318,1.7185261342627132,0.24208884661741017,1.6003451192582547,0.4562094312436841,1.3093472979379694,-0.9240858759949694,0.5870024617984608,-0.36808028917647295,-2.633827512061284,0.5349429451582145
-0.5982218382815253,-2.0323587325495485,0.19037229509110573,1.6438446697939098,-0.6887013561034262,-1.570709366538152,-1.5772896936524086,0.16523376688831354,-0.5314526475228368,0.18742676236133443,-0.48398250662882286,-0.07422431235103256,-1.9818596780644469,0.04508732386084205,0.36362046244298313,-1.6797284917145459,-0.02218944642243442,1.4089009261191523,-0.34186805721977237,3.2209044695215208,0.14843463394631992,1.732885433364145,0.3785208731251457,0.1589774016642487,0.5660353690886069,-2.2727985988312924,0.32739298293223956
3.9314271853972653,-2.0323587325495485,0.19037229509110573,1.2882583445844429,-0.7348046423902209,-1.570709366538152,-1.5772896936524086,-0.16875278361406043,-1.1530911988677308,1.5397020945384385,-0.7873878590026627,-0.6591262261567307,-2.0790928055142888,0.1952840282374784,-0.8506862649751381,2.850772661610581,-0.5893911865088293,1.1076439668443363,3.209404741697047,-0.7404628311220179,0.7639842285410483,1.47876255210844,0.8127231228318508,2.8698027825142587,1.1887791412653266,-1.9518840092935223,0.6502185485738271
0.9773082569110977,-2.0323587325495485,0.19037229509110573,1.6438446697939098,-0.7567585882410756,-1.570709366538152,-1.5772896936524086,0.15526401911212329,-0.5314526475228368,-0.4887109037272176,-0.5524933926487222,-0.48950467115307833,-2.0790928055142888,0.2877964910781602,0.5911105204253735,-0.6184272139834706,-0.5893911865088293,1.492583414806601,-0.19384177229360286,2.200552286022427,0.7639842285410483,1.7752392469067628,0.3785208731251457,0.9324261945383513,0.2546634830002469,-2.3129129225235134,0.3362613025956473
2.3558970902046426,-2.0323587325495485,1.210979321551756,1.2092391612045612,-0.640402675231546,-1.570709366538152,-1.5772896936524086,-0.09896454918072854,0.09018590382205717,0.18742676236133443,-0.6484086330765813,-0.07422431235103256,-1.9818596780644469,-0.0931371794422943,-0.43125846049723765,-0.7211337892477682,-0.3057903164656318,1.1745899577942953,0.14023589827371555,-0.7404628311220179,0.4562094312436841,1.2669934843953516,-0.4898836262882644,0.5794932502171588,0.2546634830002469,-2.5134845409846203,0.5841905229354074
3.5375446615991093,-2.0323587325495485,1.210979321551756,1.2882583445844429,-0.7677355611665029,-1.570709366538152,-1.5772896936524086,-0.1014569861247761,-0.8422719231952839,1.8777709275827146,-0.7638984123672686,-2.9987338813795232,-2.1439148904808505,0.332420149624842,-0.6674967154536147,2.7366542446502504,-0.8729920565520267,0.4549205550822349,1.3964222611792827,2.0805108526695926,1.0717590258384124,1.7752392469067628,-0.4898836262882644,2.2089921633596856,0.2546634830002469,-2.5134845409846203,0.5866175789173301
3.291368084225262,-2.0323587325495485,1.210979321551756,1.6438446697939098,-0.7523677990709047,-1.570709366538152,-1.5772896936524086,-0.0939796752926334,-0.5314526475228368,1.8777709275827146,-0.7443238735044403,0.721242290424717,-1.9818596780644469,0.284531345330842,-0.5838175385116842,1.2645266658619851,-0.02218944642243442,1.7603673786064375,1.0025908609169967,4.181235936344196,0.14843463394631992,1.351701111480587,-0.055681376581559326,2.411740876054839,1.1887791412653266,-2.3129129225235134,0.5793242521487495
-0.5982218382815253,-2.0323587325495485,2.231586348012406,1.6438446697939098,-0.6930921452735972,-1.570709366538152,-1.5772896936524086,0.010702676357364398,-0.5314526475228368,-0.15064207068294158,-0.6092595553509245,-0.48950467115307833,-1.9818596780644469,0.051617615355478416,-0.130538026689763,-2.2160850514280996,-0.02218944642243442,1.7854721252126722,-0.0010001900962076837,3.3409459028743553,0.14843463394631992,1.2669934843953516,-0.4898836262882644,0.14395897850164477,-0.056708403088113035,-2.5535988646768413,0.47502081252106
4.128368447296343,-2.0323587325495485,1.210979321551756,1.2882583445844429,-0.7435862207305628,-1.570709366538152,-1.5772896936524086,-0.08151749057239557,-0.8422719231952839,2.2158397606269906,-0.7267067885278947,0.6569030799060901,-2.1439148904808505,0.22467033996334204,-0.5078625932874704,-0.2988956464945448,-0.8729920565520267,1.4758469170691113,0.7146865269321533,3.1608837528451033,1.0717590258384124,1.351701111480587,-0.9240858759949694,1.1276656956522024,-0.6794521752648329,-2.6739418357535047,0.5670929049654543
3.192897453275723,-2.0323587325495485,1.210979321551756,1.248748752894502,-0.7040691181990245,-1.570709366538152,-1.5772896936524086,-0.08400992751644314,-0.8422719231952839,0.8635644284498865,-0.6934300724610865,-0.07422431235103256,-2.0790928055142888,0.08862260049175114,-0.45434888187950156,1.1618200905976876,-0.5893911865088293,0.9653837360756731,0.3819668956760841,1.7804072692875064,0.7639842285410483,1.3093472979379694,-0.4898836262882644,1.6307828715994344,-0.056708403088113035,-2.5535988646768413,0.569546223939229
-0.5982218382815253,-0.9511976647930356,2.231586348012406,-0.7662404232924789,-0.8775052904207761,1.8608377313521638,1.793018372470999,0.0007329285811741306,1.3334630065118454,-0.8267797367714936,-0.7815154973438142,0.9025618837044834,0.7730789330144205,3.5888588416168417,0.21792910552168404,0.020635920994381027,1.6794157738367501,0.2708190799698474,2.5942129337011313,1.0601586691704994,-1.6982141498378653,-0.8930510062781474,3.417936621072081,0.25659715222117424,2.1228947995304064,0.856118649161966,0.4850044983805899
-0.5982218382815253,-0.9511976647930356,2.231586348012406,-0.7662404232924789,-0.8775052904207761,1.8608377313521638,1.793018372470999,0.0007329285811741306,1.3334630065118454,-0.8267797367714936,-0.7815154973438142,0.9025618837044834,0.7730789330144205,3.5888588416168417,0.21792910552168404,0.020635920994381027,1.6794157738367501,0.2708190799698474,2.5942129337011313,1.0601586691704994,-1.6982141498378653,-0.8930510062781474,3.417936621072081,0.25659715222117424,2.1228947995304064,0.856118649161966,0.4850044983805899
-0.5982218382815253,-0.9511976647930356,2.231586348012406,-0.7662404232924789,-0.8775052904207761,1.8608377313521638,1.793018372470999,0.0007329285811741306,1.3334630065118454,-0.8267797367714936,-0.7815154973438142,0.9025618837044834,0.7730789330144205,3.5888588416168417,0.21792910552168404,0.020635920994381027,1.6794157738367501,0.2708190799698474,2.5942129337011313,1.0601586691704994,-1.6982141498378653,-0.8930510062781474,3.417936621072081,0.25659715222117424,2.1228947995304064,0.856118649161966,0.4850044983805899
